node	mat	pat	mat:pat	color
utig4-43	0	100000	0:100000	#8888FF
utig4-590	0	100000	0:100000	#8888FF
utig4-76	100000	0	100000:0	#FF8888
utig4-857	100000	0	100000:0	#FF8888
utig4-859	0	100000	0:100000	#8888FF
utig4-75	0	100000	0:100000	#8888FF
utig4-77	12	2	12:2	#88FF88
utig4-1105	100000	0	100000:0	#FF8888
utig4-1097	100000	0	100000:0	#FF8888
utig4-338	0	100000	0:100000	#8888FF
utig4-1098	0	100000	0:100000	#8888FF
utig4-918	100000	0	100000:0	#FF8888
utig4-921	100000	0	100000:0	#FF8888
utig4-920	0	100000	0:100000	#8888FF
utig4-919	0	100000	0:100000	#8888FF
utig4-544	100000	0	100000:0	#FF8888
utig4-876	0	100000	0:100000	#8888FF
